# format:name ra_d dec_d i q u v emaj_s emin_s pa_d
Source1 27.247717 -26.330856 3.644793e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -1.903710
Source3 27.394659 -26.075233 1.776310e-07 0.000000 0.000000 0.000000 3.000000 3.000000 10.801312
Source5 27.536850 -26.093494 4.165969e-08 0.000000 0.000000 0.000000 3.000000 3.000000 63.508404
Source13 27.449427 -26.222656 1.027106e-08 0.000000 0.000000 0.000000 3.000000 3.000000 51.020229
Source17 27.147284 -26.321541 3.017343e-07 0.000000 0.000000 0.000000 3.000000 3.000000 26.989727
Source21 27.537033 -26.357512 5.577209e-08 0.000000 0.000000 0.000000 3.000000 3.000000 72.100479
Source45 27.124607 -26.279415 9.936358e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -70.981636
Source49 27.393841 -26.281927 1.468491e-07 0.000000 0.000000 0.000000 3.000000 3.000000 13.886961
Source50 27.221819 -26.091749 2.433073e-07 0.000000 0.000000 0.000000 3.000000 3.000000 35.423660
Source52 27.147854 -26.150223 5.430606e-08 0.000000 0.000000 0.000000 3.000000 3.000000 11.875730
Source61 27.138451 -26.215624 2.326360e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -58.081184
Source62 27.311153 -26.232807 7.786947e-08 0.000000 0.000000 0.000000 3.000000 3.000000 70.184166
Source68 27.338730 -26.152452 9.625862e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -62.423481
Source70 27.127024 -26.342560 1.075354e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -43.102390
Source74 27.436634 -26.084438 2.072071e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -53.654743
Source75 27.233746 -26.018320 4.864790e-08 0.000000 0.000000 0.000000 3.000000 3.000000 47.668739
Source98 27.410849 -26.237917 1.076991e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -12.026772
Source103 27.570625 -26.218670 3.858193e-08 0.000000 0.000000 0.000000 3.000000 3.000000 75.971466
Source113 27.546171 -26.167992 2.363773e-07 0.000000 0.000000 0.000000 3.000000 3.000000 47.304573
Source116 27.157223 -25.996155 6.470979e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -81.120461
Source117 27.380018 -26.099333 5.168755e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -82.206696
Source122 27.494049 -26.329811 5.976617e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -4.197358
Source123 27.453373 -26.274630 8.013262e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -59.873020
Source125 27.438044 -26.003365 3.098064e-07 0.000000 0.000000 0.000000 3.000000 3.000000 71.448975
Source129 27.228102 -26.239912 6.618534e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -11.910561
Source137 27.380116 -26.212229 3.213933e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -6.328909
Source139 27.191645 -26.142656 1.879966e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -43.590328
Source147 27.231533 -26.180029 3.075044e-08 0.000000 0.000000 0.000000 3.000000 3.000000 59.959850
Source152 27.482180 -26.258751 7.347548e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -86.145401
Source160 27.269794 -26.087227 1.591599e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -38.168522
Source164 27.201595 -26.303356 1.152954e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -14.954045
Source182 27.243673 -26.070288 1.562999e-07 0.000000 0.000000 0.000000 3.000000 3.000000 16.844257
Source184 27.381670 -26.367830 2.337342e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -31.518440
Source187 27.260426 -26.278685 4.428318e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -39.206615
Source189 27.303743 -26.321083 3.094260e-08 0.000000 0.000000 0.000000 3.000000 3.000000 15.670694
Source193 27.531700 -26.263645 1.534335e-07 0.000000 0.000000 0.000000 3.000000 3.000000 31.123091
Source197 27.234100 -26.136612 6.392836e-08 0.000000 0.000000 0.000000 3.000000 3.000000 70.412354
Source205 27.342175 -26.261978 1.089521e-07 0.000000 0.000000 0.000000 3.000000 3.000000 2.922438
Source212 27.431477 -26.328484 7.290369e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -56.206779
Source214 27.573557 -26.125570 9.667824e-08 0.000000 0.000000 0.000000 3.000000 3.000000 41.703487
Source216 27.411121 -26.192101 2.465666e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -78.060829
Source227 27.321707 -26.029781 5.194146e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -26.276199
Source231 27.555550 -26.043402 1.090679e-07 0.000000 0.000000 0.000000 3.000000 3.000000 82.882744
Source237 27.276049 -26.020180 1.454002e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -70.343544
Source242 27.250822 -26.218479 9.444419e-08 0.000000 0.000000 0.000000 3.000000 3.000000 69.473679
Source250 27.322739 -26.081951 1.792999e-07 0.000000 0.000000 0.000000 3.000000 3.000000 6.516508
Source261 27.363075 -25.987247 4.970778e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -60.904999
Source266 27.161001 -26.051355 1.192101e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -61.701973
Source278 27.391914 -26.036491 2.512120e-07 0.000000 0.000000 0.000000 3.000000 3.000000 61.061157
Source281 27.506178 -26.056438 2.176747e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -66.916962
Source282 27.494713 -26.131422 3.625754e-07 0.000000 0.000000 0.000000 3.000000 3.000000 78.891449
Source283 27.171825 -26.354656 3.705476e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -52.158993
Source296 27.518415 -26.233646 3.264067e-07 0.000000 0.000000 0.000000 3.000000 3.000000 38.840099
Source297 27.156282 -26.265192 3.805719e-08 0.000000 0.000000 0.000000 3.000000 3.000000 -19.566416
Source298 27.400024 -26.140326 1.206137e-07 0.000000 0.000000 0.000000 3.000000 3.000000 -77.016846
